finding_id,project_id,root_cause_key,verdict,evidence_refs,assumptions,review_basis,reviewer,reviewed_at,review_status
family:d3714de354dda09ec3d3d422,apache/druid,resource:b701547c28810080bc6ef9d9,static_unknown,family:d3714de354dda09ec3d3d422;finding:b48e6bf179ea40461e925c2c;certificate:23403b10657c83c91726b318;growth:400dd91cdbcd8e3301beebd2;entry:4fd567a7c4941bbc644447c8,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;FLOW_GROWTH_NOT_VERIFIED;GROWTH_COVERAGE_INCOMPLETE;LIFECYCLE_PREMISE_UNRESOLVED;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_CANDIDATE_RELEVANT_GAP;VERDICT_FLOW_NOT_PROVEN;VERDICT_GROWTH_NOT_VERIFIED;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:0a35788edb950d273feac098,apache/hertzbeat,resource:0122c6b8928e9d173ac3751d,static_unknown,family:0a35788edb950d273feac098;finding:b4b0380128a7c34db1b38baa;certificate:2cf89e438d969b5109e66829;growth:6367b475b4884ef986160536;entry:2588afdad6a1d20e85c292d5,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;BOUND_COVERAGE_UNKNOWN;GUARD_COVERAGE_UNKNOWN;RELEASE_COVERAGE_UNKNOWN;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:23c9e05d63e9e8b2a59920ec,apache/hertzbeat,resource:2c0b37385c4b3c617f49a13f,static_unknown,family:23c9e05d63e9e8b2a59920ec;finding:5f204b398c0fa01f540fdbeb;certificate:df624ad5470bf4d0e3d9290c;growth:462fc140890bfb3be3f66f61;entry:a96da74b685f525285a8282e,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;FLOW_GROWTH_NOT_VERIFIED;GROWTH_COVERAGE_INCOMPLETE;LIFECYCLE_PREMISE_UNRESOLVED;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_CANDIDATE_RELEVANT_GAP;VERDICT_FLOW_NOT_PROVEN;VERDICT_GROWTH_NOT_VERIFIED;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:26bac4271db2afa3d91d9426,apache/hertzbeat,resource:2802e70bfdcff73dbf9fc701,static_unknown,family:26bac4271db2afa3d91d9426;finding:c542f0f30ac824cbffc1869d;certificate:e764091e8b500d0d400db9e4;growth:f83a497a28d4d5cdba221094;entry:816d3b20f57a497d77a30e44,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;FLOW_GROWTH_NOT_VERIFIED;GROWTH_COVERAGE_INCOMPLETE;LIFECYCLE_PREMISE_UNRESOLVED;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_CANDIDATE_RELEVANT_GAP;VERDICT_FLOW_NOT_PROVEN;VERDICT_GROWTH_NOT_VERIFIED;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:4a6df27345ac0bf7aece08a2,apache/hertzbeat,resource:d196c143f31c0c4e863aff41,static_unknown,family:4a6df27345ac0bf7aece08a2;finding:6b8b466d06b95443d4f11a05;certificate:803d29b9e52da49228bafa93;growth:bc1195cdda27642f12de53a1;entry:2ccefd0d4833366bbeaba443,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;BOUND_COVERAGE_UNKNOWN;GUARD_COVERAGE_UNKNOWN;RELEASE_COVERAGE_UNKNOWN;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:520c5ded83bb9bd7aa572261,apache/hertzbeat,resource:d595375349a1a7791eb3cbca,static_unknown,family:520c5ded83bb9bd7aa572261;finding:763073780ea843f588d05472;certificate:50cefece1eb96aad6f7ff436;growth:434ebf4b4b85247d4ccb554b;entry:816d3b20f57a497d77a30e44,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;FLOW_GROWTH_NOT_VERIFIED;GROWTH_COVERAGE_INCOMPLETE;LIFECYCLE_PREMISE_UNRESOLVED;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_CANDIDATE_RELEVANT_GAP;VERDICT_FLOW_NOT_PROVEN;VERDICT_GROWTH_NOT_VERIFIED;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:532582d32cb87a7f73be1d10,apache/hertzbeat,resource:ffa7b7e464336eedae5495e8,static_unknown,family:532582d32cb87a7f73be1d10;finding:81cb15b5046a74643548ddb4;certificate:6fb91eae2162d4fd358641fc;growth:805bffdfc3eca37b02f9df55;entry:4a9e34ac69326f4b260d443e,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;BOUND_COVERAGE_UNKNOWN;GUARD_COVERAGE_UNKNOWN;RELEASE_COVERAGE_UNKNOWN;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:737049b72f24496eaa2761f4,apache/hertzbeat,resource:9b81ac40c6a5e77a39432a08,static_unknown,family:737049b72f24496eaa2761f4;finding:0cb3798b11539d5d076c0787;certificate:6d8e1c680178c81285ad875a;growth:070b5cf41c3f37b68e0790d1;entry:816d3b20f57a497d77a30e44,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;FLOW_GROWTH_NOT_VERIFIED;GROWTH_COVERAGE_INCOMPLETE;LIFECYCLE_PREMISE_UNRESOLVED;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_CANDIDATE_RELEVANT_GAP;VERDICT_FLOW_NOT_PROVEN;VERDICT_GROWTH_NOT_VERIFIED;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:77685dd5709aa6ba4e29a83c,apache/hertzbeat,resource:cbd7053e9bee066a2de7b2da,static_unknown,family:77685dd5709aa6ba4e29a83c;finding:ed6d1baf23825621f7bea449;certificate:5ac78ec3c9fcbfe2d0d4d219;growth:b68386f50aab71ee34551ed3;entry:2499485ae69776d871c9c6ca,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;BOUND_COVERAGE_UNKNOWN;GUARD_COVERAGE_UNKNOWN;RELEASE_COVERAGE_UNKNOWN;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
family:ce0df5ccffffccbb7d90118f,apache/hertzbeat,resource:fbb49258d9eb910cfa196a48,static_unknown,family:ce0df5ccffffccbb7d90118f;finding:be03572fc9676dd8b8454e2e;certificate:3f47e600eb339727c9d3f0f9;growth:8fee717c3a431af40f235e56;entry:1fc778016a392f9fe47f63e9,A1_REACHABILITY_UNKNOWN;A2_REACHABILITY_UNKNOWN;BOUND_COVERAGE_UNKNOWN;GUARD_COVERAGE_UNKNOWN;RELEASE_COVERAGE_UNKNOWN;VERDICT_ASSERTION_1_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_ASSERTION_2_LIFECYCLE_COVERAGE_INCOMPLETE;VERDICT_REACHABILITY_NOT_PROVEN;VERDICT_UNRESOLVED_EVIDENCE,static_unknown_not_formal_positive,,,unresolved
