project_id,prepare,entries,growth,flows,lifecycle,conclude,report,attempt,error,coverage_gaps,last_attempt_wall_time_seconds
apache/hertzbeat,assets_present,completed,completed,completed,completed,completed,completed,5,,verdict:static_unknown=11,186
cicizz/jmqtt,assets_present,completed,completed,completed,completed,completed,completed,16,,,2
dependencytrack/dependency-track,assets_present,completed,completed,completed,completed,completed,completed,4,,entry_gap_facts.jsonl=48;verdict:static_unknown=6,184
erupts/erupt,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=5,194
getrebuild/rebuild,assets_present,completed,completed,completed,completed,completed,completed,6,,verdict:static_unknown=24,187
grobidorg/grobid,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=2,170
jetlinks/jetlinks-community,assets_present,completed,completed,completed,completed,completed,completed,7,,verdict:static_unknown=9,190
openzipkin/zipkin,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=1,169
powerjob/powerjob,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=1,183
quickmsg/smqtt,assets_present,completed,completed,completed,completed,completed,completed,16,,entry_gap_facts.jsonl=1,3
thingsboard/thingsboard,assets_present,completed,completed,completed,completed,completed,completed,3,,entry_gap_facts.jsonl=1;verdict:static_unknown=19,264
tianshiyeben/wgcloud,assets_present,completed,completed,completed,completed,completed,completed,16,,verdict:static_unknown=15,4
walmartlabs/concord,assets_present,completed,completed,completed,completed,completed,completed,5,,verdict:static_unknown=12,174
xuxueli/xxl-job,assets_present,completed,completed,completed,completed,completed,completed,16,,verdict:static_unknown=7,3
yangzongzhuan/ruoyi-vue-fast,assets_present,completed,completed,completed,completed,completed,completed,16,,verdict:static_unknown=2,2
yiuman/citrus,assets_present,completed,completed,completed,completed,completed,completed,16,,entry_gap_facts.jsonl=8;verdict:static_unknown=3,3
apache/druid,assets_present,completed,completed,completed,completed,completed,completed,3,,entry_gap_facts.jsonl=3;verdict:static_unknown=1,371
apache/skywalking,assets_present,completed,completed,completed,completed,completed,completed,3,,entry_gap_facts.jsonl=3,161
apache/solr,assets_present,completed,completed,completed,completed,completed,completed,3,,entry_gap_facts.jsonl=98;verdict:static_unknown=2,187
prestodb/presto,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=4,188
dromara/datacompare,assets_present,completed,completed,completed,completed,completed,completed,3,,verdict:static_unknown=8,182
