module,analysis_unit_id,resource_family_id,executor_id,dimension,scope,cut,raw_fact_snapshot_sha256,full_property_id,ablated_property_id,full_status,ablated_status,full_upper_bound,ablated_upper_bound,full_unknown_reasons,ablated_unknown_reasons,determinate_gain
xxl-job-core,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,family:e320e8610045eed0aa706edd,,close_obligation,all_exits,all_modeled_exits,02ba4e1dd414ac1b4bd3eabb154689765ca323be0a65aa5b43cfe4cde7df71e3,resource-property-v1.2:8e9ec6b0b1d19d4ea5e6c010,resource-property-v1.2:8e9ec6b0b1d19d4ea5e6c010,unknown,unknown,,,"[""conditional_release_not_must""]","[""conditional_release_not_must""]",False
xxl-job-core,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,family:e320e8610045eed0aa706edd,,held_instances,all_exits,all_modeled_exits,02ba4e1dd414ac1b4bd3eabb154689765ca323be0a65aa5b43cfe4cde7df71e3,resource-property-v1.2:f23e6d197276fec23d0d0615,resource-property-v1.2:f23e6d197276fec23d0d0615,bounded,bounded,0,0,[],[],False
xxl-job-core,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,family:e320e8610045eed0aa706edd,,item_size_bytes,per_instance,all_modeled_exits,02ba4e1dd414ac1b4bd3eabb154689765ca323be0a65aa5b43cfe4cde7df71e3,resource-property-v1.2:7007fabafc53bfa8ee5ab388,resource-property-v1.2:7007fabafc53bfa8ee5ab388,unknown,unknown,,,"[""item_size_unknown""]","[""item_size_unknown""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:2521b61b08c87f4232afff00,,close_obligation,all_exits,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:f34baa74302c3be1e8a2055a,resource-property-v1.2:f34baa74302c3be1e8a2055a,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:2521b61b08c87f4232afff00,,held_instances,all_exits,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:e664b81bcf4f7cb765665f94,resource-property-v1.2:e664b81bcf4f7cb765665f94,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:2521b61b08c87f4232afff00,,item_size_bytes,per_instance,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:a4f825b9fde55ad28a136d57,resource-property-v1.2:a4f825b9fde55ad28a136d57,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:28c7997cf120cea6170f620c,,close_obligation,all_exits,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:495b91e2f6dd7211d974addc,resource-property-v1.2:495b91e2f6dd7211d974addc,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:28c7997cf120cea6170f620c,,held_instances,all_exits,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:b05b8a64ee174f317061031d,resource-property-v1.2:b05b8a64ee174f317061031d,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:28c7997cf120cea6170f620c,,item_size_bytes,per_instance,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:a328fe8c43b2e7bfc33b5ab3,resource-property-v1.2:a328fe8c43b2e7bfc33b5ab3,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,family:56bb447e8dbac69e602f8b92,,close_obligation,all_exits,all_modeled_exits,6ec128212569966a7449154fc6eb418322c47c0269d6c50cbaa96fa1fd70da77,resource-property-v1.2:80bc957f488df4cab1d56e9b,resource-property-v1.2:80bc957f488df4cab1d56e9b,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]","[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",False
