module,mode,analysis_unit_id,assumptions,coverage_gaps,cut,dimension,evidence_refs,executor_id,property_id,relation,resource_family_id,scope,status,unknown_reasons,upper_bound
xxl-job-core,full,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],"[""item_size_unknown""]",all_modeled_exits,item_size_bytes,"[""family:e320e8610045eed0aa706edd""]",,resource-property-v1.2:7007fabafc53bfa8ee5ab388,,family:e320e8610045eed0aa706edd,per_instance,unknown,"[""item_size_unknown""]",
xxl-job-core,full,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],"[""conditional_release_not_must""]",all_modeled_exits,close_obligation,"[""lifecycle-fact:968fd6fe9c75afcbd8022165""]",,resource-property-v1.2:8e9ec6b0b1d19d4ea5e6c010,,family:e320e8610045eed0aa706edd,all_exits,unknown,"[""conditional_release_not_must""]",
xxl-job-core,full,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],[],all_modeled_exits,held_instances,[],,resource-property-v1.2:f23e6d197276fec23d0d0615,,family:e320e8610045eed0aa706edd,all_exits,bounded,[],0
xxl-job-core,ablated,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],"[""item_size_unknown""]",all_modeled_exits,item_size_bytes,"[""family:e320e8610045eed0aa706edd""]",,resource-property-v1.2:7007fabafc53bfa8ee5ab388,,family:e320e8610045eed0aa706edd,per_instance,unknown,"[""item_size_unknown""]",
xxl-job-core,ablated,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],"[""conditional_release_not_must""]",all_modeled_exits,close_obligation,"[""lifecycle-fact:968fd6fe9c75afcbd8022165""]",,resource-property-v1.2:8e9ec6b0b1d19d4ea5e6c010,,family:e320e8610045eed0aa706edd,all_exits,unknown,"[""conditional_release_not_must""]",
xxl-job-core,ablated,java-callable-v1:com.xxl.job.core.util.ScriptUtil.execToFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;)I,[],[],all_modeled_exits,held_instances,[],,resource-property-v1.2:f23e6d197276fec23d0d0615,,family:e320e8610045eed0aa706edd,all_exits,bounded,[],0
hertzbeat-common-core,full,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,[],"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",all_modeled_exits,held_instances,"[""lifecycle-fact:0adef5cbb711af78cb78242e"", ""lifecycle-fact:741f5998c0be4db170e10f6e"", ""lifecycle-fact:afa558f8e9e4b1fe4de46558""]",,resource-property-v1.2:12d1970265bde1f4ade82306,,family:56bb447e8dbac69e602f8b92,all_exits,unknown,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",
hertzbeat-common-core,full,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,[],"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",all_modeled_exits,close_obligation,"[""lifecycle-fact:5786e5795bc7192e243a3dd8"", ""lifecycle-fact:78d8d0f0a591480b873d3c14""]",,resource-property-v1.2:495b91e2f6dd7211d974addc,,family:28c7997cf120cea6170f620c,all_exits,unknown,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",
hertzbeat-common-core,full,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,[],"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",all_modeled_exits,item_size_bytes,"[""lifecycle-fact:0adef5cbb711af78cb78242e"", ""lifecycle-fact:741f5998c0be4db170e10f6e"", ""lifecycle-fact:afa558f8e9e4b1fe4de46558""]",,resource-property-v1.2:7fa4badd0583318714c259af,,family:56bb447e8dbac69e602f8b92,per_instance,unknown,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",
hertzbeat-common-core,full,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,[],"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",all_modeled_exits,close_obligation,"[""lifecycle-fact:0adef5cbb711af78cb78242e"", ""lifecycle-fact:741f5998c0be4db170e10f6e"", ""lifecycle-fact:afa558f8e9e4b1fe4de46558""]",,resource-property-v1.2:80bc957f488df4cab1d56e9b,,family:56bb447e8dbac69e602f8b92,all_exits,unknown,"[""external_callee_resource_effects_unmodeled"", ""repeated_abstract_instance:instance:88ec638b682043745ce0eaa6"", ""unknown_call:effect:0ef21d3fa844203f91d47d84"", ""unknown_call:effect:5a6fd63ef7c53b17202b618f"", ""unknown_call:effect:962038d0c3b600d4f812f7c7"", ""unknown_call:effect:9c7989b9c82a64e121369989"", ""unknown_call:effect:b6e03d1aad18a5fe8c2546ea"", ""unknown_call:effect:c2a05b30fc15a5b583206db3"", ""unknown_call:effect:cd09511957e4847444495f9e"", ""unknown_call:effect:d3c68946d00ca512f54fa068"", ""unknown_call:effect:de0a3c161aacbbd79944cf47"", ""unknown_call:effect:f5dbe3cf6d287a715e5f488e"", ""weak_update:instance:88ec638b682043745ce0eaa6""]",
