family_id,verdict,member_finding_ids,prerequisite_evidence
family:0a35788edb950d273feac098,static_unknown,"[""finding:b4b0380128a7c34db1b38baa""]",prerequisite-status.csv#family_id=family:0a35788edb950d273feac098
family:23c9e05d63e9e8b2a59920ec,static_unknown,"[""finding:5f204b398c0fa01f540fdbeb""]",prerequisite-status.csv#family_id=family:23c9e05d63e9e8b2a59920ec
family:26bac4271db2afa3d91d9426,static_unknown,"[""finding:c542f0f30ac824cbffc1869d""]",prerequisite-status.csv#family_id=family:26bac4271db2afa3d91d9426
family:4a6df27345ac0bf7aece08a2,static_unknown,"[""finding:6b8b466d06b95443d4f11a05""]",prerequisite-status.csv#family_id=family:4a6df27345ac0bf7aece08a2
family:520c5ded83bb9bd7aa572261,static_unknown,"[""finding:763073780ea843f588d05472""]",prerequisite-status.csv#family_id=family:520c5ded83bb9bd7aa572261
family:532582d32cb87a7f73be1d10,static_unknown,"[""finding:81cb15b5046a74643548ddb4""]",prerequisite-status.csv#family_id=family:532582d32cb87a7f73be1d10
family:737049b72f24496eaa2761f4,static_unknown,"[""finding:0cb3798b11539d5d076c0787""]",prerequisite-status.csv#family_id=family:737049b72f24496eaa2761f4
family:77685dd5709aa6ba4e29a83c,static_unknown,"[""finding:ed6d1baf23825621f7bea449""]",prerequisite-status.csv#family_id=family:77685dd5709aa6ba4e29a83c
family:ce0df5ccffffccbb7d90118f,static_unknown,"[""finding:be03572fc9676dd8b8454e2e""]",prerequisite-status.csv#family_id=family:ce0df5ccffffccbb7d90118f
family:f91d100ddc08cc3f19ab62a6,static_unknown,"[""finding:a63118d5af3de00368bc2f4a""]",prerequisite-status.csv#family_id=family:f91d100ddc08cc3f19ab62a6
family:fdd752c619f2c16172fd47d8,static_unknown,"[""finding:02d00534254c1b27e6280566""]",prerequisite-status.csv#family_id=family:fdd752c619f2c16172fd47d8
family:44efcbdba84d7048e6e033e3,static_unknown,"[""finding:8a51dfcc5ee45db1bb84df58""]",prerequisite-status.csv#family_id=family:44efcbdba84d7048e6e033e3
family:48c4ac867b7178af54f68205,static_unknown,"[""finding:48045c80a6f57b6be75c69f7""]",prerequisite-status.csv#family_id=family:48c4ac867b7178af54f68205
family:641caee5ccd3b63bf14d8ae4,static_unknown,"[""finding:2ca42a8cb69fbc96bb7eefff""]",prerequisite-status.csv#family_id=family:641caee5ccd3b63bf14d8ae4
family:904156a37d7eb7a3787c0c04,static_unknown,"[""finding:1c3269e61cc9ea5c750b3113""]",prerequisite-status.csv#family_id=family:904156a37d7eb7a3787c0c04
family:a4daac16eea0e64c41e0d002,static_unknown,"[""finding:cfffb7c34b4e39fb5c0b3762""]",prerequisite-status.csv#family_id=family:a4daac16eea0e64c41e0d002
family:ac02ba4a27e45ec91a0d7f73,static_unknown,"[""finding:dc0caf9e803cee9c90a1e205""]",prerequisite-status.csv#family_id=family:ac02ba4a27e45ec91a0d7f73
family:1dd9ed86e81ea38c10281bb1,static_unknown,"[""finding:4d692914b2685132b240e73b""]",prerequisite-status.csv#family_id=family:1dd9ed86e81ea38c10281bb1
family:35bbfa88d86a7b73653e8557,static_unknown,"[""finding:1c413542c6291f032f824a31""]",prerequisite-status.csv#family_id=family:35bbfa88d86a7b73653e8557
family:51e7c05d37edad48e389da24,static_unknown,"[""finding:b9a3235890e60a32b45d96a7""]",prerequisite-status.csv#family_id=family:51e7c05d37edad48e389da24
family:b439f57c6ccf831e36524d96,static_unknown,"[""finding:fb75f0218094ab28591abe49""]",prerequisite-status.csv#family_id=family:b439f57c6ccf831e36524d96
family:d6e4405edfa0d03d03095375,static_unknown,"[""finding:c1d7367a99300017a90932f0""]",prerequisite-status.csv#family_id=family:d6e4405edfa0d03d03095375
family:048257e2b0782d1cd56580aa,static_unknown,"[""finding:9055661dadd286ca3d521b6d""]",prerequisite-status.csv#family_id=family:048257e2b0782d1cd56580aa
family:0d4a1cd5b88efa7bbafe49e6,static_unknown,"[""finding:e2a4494afcdc39839ff4166b""]",prerequisite-status.csv#family_id=family:0d4a1cd5b88efa7bbafe49e6
family:11403f448b2360a26f3862e1,static_unknown,"[""finding:b14f5baf1df99122478f420a""]",prerequisite-status.csv#family_id=family:11403f448b2360a26f3862e1
family:1862e8ed691284cb26782913,static_unknown,"[""finding:e81b4916c3556fdafa54e298""]",prerequisite-status.csv#family_id=family:1862e8ed691284cb26782913
family:27a99408b496f3351cdd2e9e,static_unknown,"[""finding:3532527ca61db87c8cedc630""]",prerequisite-status.csv#family_id=family:27a99408b496f3351cdd2e9e
family:27e7063aea4f6b03d4047700,static_unknown,"[""finding:c1f4cecceed41645d1698c65""]",prerequisite-status.csv#family_id=family:27e7063aea4f6b03d4047700
family:2deb9c20cc031f03054e75db,static_unknown,"[""finding:ce4324223969f70621d5348e""]",prerequisite-status.csv#family_id=family:2deb9c20cc031f03054e75db
family:31bc733b28d85445750d298e,static_unknown,"[""finding:b08aa4172b94c89de7834fb6""]",prerequisite-status.csv#family_id=family:31bc733b28d85445750d298e
family:490d02963b38a5e0c5379e58,static_unknown,"[""finding:dbce43eb61545de252ff4a2a""]",prerequisite-status.csv#family_id=family:490d02963b38a5e0c5379e58
family:4ddd51d0610c62405cb53e24,static_unknown,"[""finding:29df2f9ed587893e169f7499"", ""finding:9f6d73949a075b7f4958147e""]",prerequisite-status.csv#family_id=family:4ddd51d0610c62405cb53e24
family:5a1ad4fd603b524fea527734,static_unknown,"[""finding:040103dab97c825a42b3f885"", ""finding:823048f0c303e17384f3568b""]",prerequisite-status.csv#family_id=family:5a1ad4fd603b524fea527734
family:62cb1bd9296fc591718bf241,static_unknown,"[""finding:a12518563e7dcbe11f94cba1""]",prerequisite-status.csv#family_id=family:62cb1bd9296fc591718bf241
family:6af62f3a262b9ebb45075814,static_unknown,"[""finding:75f0f90fcd6ab3c144df76b3""]",prerequisite-status.csv#family_id=family:6af62f3a262b9ebb45075814
family:8ae056524b47073b6ca0dbef,static_unknown,"[""finding:95093c886e30cea5073405e1""]",prerequisite-status.csv#family_id=family:8ae056524b47073b6ca0dbef
family:8cffd8201f5d9defeaf06132,static_unknown,"[""finding:838465bdc0da6244f6cb8cbf""]",prerequisite-status.csv#family_id=family:8cffd8201f5d9defeaf06132
family:9ab6968aef9a074eaec3d9ae,static_unknown,"[""finding:64065c24f7bfa8fd1197ce53""]",prerequisite-status.csv#family_id=family:9ab6968aef9a074eaec3d9ae
family:b699b7216d701161d6bd3bc4,static_unknown,"[""finding:20f5d84a1344270d002e26cd""]",prerequisite-status.csv#family_id=family:b699b7216d701161d6bd3bc4
family:c641990925dc30d8670077aa,static_unknown,"[""finding:ac8352aa88ee1733e91cd0c7""]",prerequisite-status.csv#family_id=family:c641990925dc30d8670077aa
family:da7c2b85005678ae55f3af4c,static_unknown,"[""finding:cf0f7e7c2210a1571984e755""]",prerequisite-status.csv#family_id=family:da7c2b85005678ae55f3af4c
family:dcdcfea5f4eb7422d65f2a15,static_unknown,"[""finding:bb7104fc4af89c28d7c39fee""]",prerequisite-status.csv#family_id=family:dcdcfea5f4eb7422d65f2a15
family:e8b7624913584a0a75759b58,static_unknown,"[""finding:627f215936911bad22ae26f4""]",prerequisite-status.csv#family_id=family:e8b7624913584a0a75759b58
family:fc1b461a08736cab7274e35b,static_unknown,"[""finding:795cd3527b97ece63eaaeade""]",prerequisite-status.csv#family_id=family:fc1b461a08736cab7274e35b
family:11e9cbe2e2904db4ee7d0a9e,static_unknown,"[""finding:d8896f29f917c7a8b9a4d2c4""]",prerequisite-status.csv#family_id=family:11e9cbe2e2904db4ee7d0a9e
family:84425f3a7a6ad647c7e628de,static_unknown,"[""finding:f28e21e70b438ada6ace6f1b""]",prerequisite-status.csv#family_id=family:84425f3a7a6ad647c7e628de
family:100f692d47d9a206112ce6d4,static_unknown,"[""finding:d681c391f0b3f26037f91d3f""]",prerequisite-status.csv#family_id=family:100f692d47d9a206112ce6d4
family:11e9c626184af9a69c40bf4a,static_unknown,"[""finding:0f342b310d851cfc75d960a4""]",prerequisite-status.csv#family_id=family:11e9c626184af9a69c40bf4a
family:16206c8763fe400748e2aae6,static_unknown,"[""finding:556a5d1a7cda55c3e219ab39"", ""finding:afdbbb8d6125407916d0853b""]",prerequisite-status.csv#family_id=family:16206c8763fe400748e2aae6
family:46703d816ab95835ab1e55df,static_unknown,"[""finding:9be81ccbfdac430d5f6c0e28""]",prerequisite-status.csv#family_id=family:46703d816ab95835ab1e55df
family:60515812d24c05d8bfa8f5f1,static_unknown,"[""finding:05835bd54d88bc81ae8f7ffa""]",prerequisite-status.csv#family_id=family:60515812d24c05d8bfa8f5f1
family:68bf501832a1f68ec6228c1b,static_unknown,"[""finding:8fcc2ce7950c30e0d49c03ab""]",prerequisite-status.csv#family_id=family:68bf501832a1f68ec6228c1b
family:86792536d1c22efb76949714,static_unknown,"[""finding:278168abeeffd7ae12d2d8e2""]",prerequisite-status.csv#family_id=family:86792536d1c22efb76949714
family:de1150c1c9b50b4d9974aa7b,static_unknown,"[""finding:cc41c4dcf2655e08325a35ae""]",prerequisite-status.csv#family_id=family:de1150c1c9b50b4d9974aa7b
family:5b53eac5c3f2222cc1a24110,static_unknown,"[""finding:f8e7db2d00a1215e90e8e113""]",prerequisite-status.csv#family_id=family:5b53eac5c3f2222cc1a24110
family:d920b4cac0fa49ff0ba684ff,static_unknown,"[""finding:e513210b205567be34e37c1c""]",prerequisite-status.csv#family_id=family:d920b4cac0fa49ff0ba684ff
family:1a94d1fea45a9d4820ae9084,static_unknown,"[""finding:fefef5369dd699a8e7b0a87e""]",prerequisite-status.csv#family_id=family:1a94d1fea45a9d4820ae9084
family:2804cc6ef042705c29046841,static_unknown,"[""finding:88423b8a035a5b921cbd7c57""]",prerequisite-status.csv#family_id=family:2804cc6ef042705c29046841
family:35d5c8129c7c5f48ababfc1a,static_unknown,"[""finding:23d18a075bba847d6df0deb3""]",prerequisite-status.csv#family_id=family:35d5c8129c7c5f48ababfc1a
family:443d5e285aaa28330a3448b6,static_unknown,"[""finding:52f33b3d124dba76a7687c4b""]",prerequisite-status.csv#family_id=family:443d5e285aaa28330a3448b6
family:4a1520b55b49e6d96764a5ef,static_unknown,"[""finding:84da44f653b2e223a10ebd77""]",prerequisite-status.csv#family_id=family:4a1520b55b49e6d96764a5ef
family:506a538a26b5000f297085c0,static_unknown,"[""finding:dffce998834dea55cf49a899""]",prerequisite-status.csv#family_id=family:506a538a26b5000f297085c0
family:55285902dde60d8cfb5fa1e5,static_unknown,"[""finding:629be75bffae7d006f38bc8d""]",prerequisite-status.csv#family_id=family:55285902dde60d8cfb5fa1e5
family:64ef59e10c44044916805e77,static_unknown,"[""finding:b89fdf8541396f7cbcf142e0""]",prerequisite-status.csv#family_id=family:64ef59e10c44044916805e77
family:6f17147d08e860563bd1b9a4,static_unknown,"[""finding:270286de95297956797c3041""]",prerequisite-status.csv#family_id=family:6f17147d08e860563bd1b9a4
family:75134c748d002607c3ae4e4d,static_unknown,"[""finding:37b71a3dd94acdda7e102ecd""]",prerequisite-status.csv#family_id=family:75134c748d002607c3ae4e4d
family:7fa58d6e8cee6d0a05fef2ec,static_unknown,"[""finding:add31a54532bbe21d25b8243""]",prerequisite-status.csv#family_id=family:7fa58d6e8cee6d0a05fef2ec
family:823ae0f6d13b8c10f8062896,static_unknown,"[""finding:4b8c5ea9b0aafd89dfcbce2c""]",prerequisite-status.csv#family_id=family:823ae0f6d13b8c10f8062896
family:bccb0f0fc685357e8facbd54,static_unknown,"[""finding:9f091a06138af200c14d487d""]",prerequisite-status.csv#family_id=family:bccb0f0fc685357e8facbd54
family:be1eb3a8dddb303e0b0ff5bc,static_unknown,"[""finding:98ac388ab282bd4fbd87005e""]",prerequisite-status.csv#family_id=family:be1eb3a8dddb303e0b0ff5bc
family:d39ef431c42fd4e4aa41d9e1,static_unknown,"[""finding:69b8337e5f878447f0a8ab8f""]",prerequisite-status.csv#family_id=family:d39ef431c42fd4e4aa41d9e1
family:d6b0f75be6afc97e3e5ba1c2,static_unknown,"[""finding:06bf11882da2ab5a5dab0fd4""]",prerequisite-status.csv#family_id=family:d6b0f75be6afc97e3e5ba1c2
family:dfef84e58b89ed7f712005a3,static_unknown,"[""finding:74a78cbf33af359fb0874320""]",prerequisite-status.csv#family_id=family:dfef84e58b89ed7f712005a3
family:e1bf467be62c21071b1dfb12,static_unknown,"[""finding:27a44eba381d65b103f3ac7a""]",prerequisite-status.csv#family_id=family:e1bf467be62c21071b1dfb12
family:ea6b1237208dd9fcf96919bd,static_unknown,"[""finding:283158ce2a6a8a73a45edc50""]",prerequisite-status.csv#family_id=family:ea6b1237208dd9fcf96919bd
family:233756cdc84c74fdc0784607,static_unknown,"[""finding:570bb0f4f4c3139c389ffa62""]",prerequisite-status.csv#family_id=family:233756cdc84c74fdc0784607
family:258406d674df83ed7d709e27,static_unknown,"[""finding:2684b1c03766ffc495694dc4""]",prerequisite-status.csv#family_id=family:258406d674df83ed7d709e27
family:2bc52ba356df3c856cbdae63,static_unknown,"[""finding:9175ba4608d89627e458b87b""]",prerequisite-status.csv#family_id=family:2bc52ba356df3c856cbdae63
family:715727111a5fec9f03b45966,static_unknown,"[""finding:ae62655f7fa678b6f2672a66""]",prerequisite-status.csv#family_id=family:715727111a5fec9f03b45966
family:a92c7d25a19a0973d304c7d8,static_unknown,"[""finding:8e780f3ee71c1522e1a05e91""]",prerequisite-status.csv#family_id=family:a92c7d25a19a0973d304c7d8
family:bbf9a443ff12c310277007ba,static_unknown,"[""finding:3e8713a56d8b88971c1c1ce2""]",prerequisite-status.csv#family_id=family:bbf9a443ff12c310277007ba
family:c095e14cf915fb1383107648,static_unknown,"[""finding:0c73e15315c1ef6471481e4a"", ""finding:dedec2408d9d55a58178afa0""]",prerequisite-status.csv#family_id=family:c095e14cf915fb1383107648
family:c2bd3419275a35462baf126e,static_unknown,"[""finding:1eebc1d53082eb30c418f8eb"", ""finding:d882bcf980abed8a8e6e64fc""]",prerequisite-status.csv#family_id=family:c2bd3419275a35462baf126e
family:ccf66c3e75552d38591a53c6,static_unknown,"[""finding:a6d6e1637f52925d355d89f8""]",prerequisite-status.csv#family_id=family:ccf66c3e75552d38591a53c6
family:d6256d631d5c5c647c11d996,static_unknown,"[""finding:d3926e4314886468417c48fb""]",prerequisite-status.csv#family_id=family:d6256d631d5c5c647c11d996
family:ddb5e6922c02fd19c7405193,static_unknown,"[""finding:0f047ed8be2315a26d46a885""]",prerequisite-status.csv#family_id=family:ddb5e6922c02fd19c7405193
family:ef012b525eeeb7795a6c8453,static_unknown,"[""finding:12194f560421eb8b7060814d""]",prerequisite-status.csv#family_id=family:ef012b525eeeb7795a6c8453
family:fc0e2fe08f5844805ea9febd,static_unknown,"[""finding:e16daf309ff4d867f3af65b9""]",prerequisite-status.csv#family_id=family:fc0e2fe08f5844805ea9febd
family:0299c180013f7b1fd2691c85,static_unknown,"[""finding:0fd263bc141bf1eae0ab3bba""]",prerequisite-status.csv#family_id=family:0299c180013f7b1fd2691c85
family:25526e1684d0fb827477a1b6,static_unknown,"[""finding:03876e2c070589bdfd4c3e6c""]",prerequisite-status.csv#family_id=family:25526e1684d0fb827477a1b6
family:2715b8323398c4563e1de6fd,static_unknown,"[""finding:b2d8045d59436704c9b97526""]",prerequisite-status.csv#family_id=family:2715b8323398c4563e1de6fd
family:2e03b276ad8eafa5ccf29894,static_unknown,"[""finding:14b266c49a803ee1024c1089""]",prerequisite-status.csv#family_id=family:2e03b276ad8eafa5ccf29894
family:33b88ec37d1644577d853ea2,static_unknown,"[""finding:86bc63138d48d8602a5c1e99""]",prerequisite-status.csv#family_id=family:33b88ec37d1644577d853ea2
family:53966488c41d7dc381b822db,static_unknown,"[""finding:82f89dc4730d9634a277ff4b""]",prerequisite-status.csv#family_id=family:53966488c41d7dc381b822db
family:a6473f5a40e56b7d03b86b45,static_unknown,"[""finding:c8a40d362e686ee9f18b1a3a""]",prerequisite-status.csv#family_id=family:a6473f5a40e56b7d03b86b45
family:c52ca108dfc6546627197da6,static_unknown,"[""finding:050f42dd01971989e8d1506b""]",prerequisite-status.csv#family_id=family:c52ca108dfc6546627197da6
family:d4b039f5dc2df46d8255961c,static_unknown,"[""finding:e613f495a429ab8d5637acf5""]",prerequisite-status.csv#family_id=family:d4b039f5dc2df46d8255961c
family:dc8e2db137e115028ad3caf9,static_unknown,"[""finding:2153dd32cba2252e8fa3c87e""]",prerequisite-status.csv#family_id=family:dc8e2db137e115028ad3caf9
family:dd71253d086d48eda0346ebc,static_unknown,"[""finding:14bb0f15a23c3de6c7c195d2""]",prerequisite-status.csv#family_id=family:dd71253d086d48eda0346ebc
family:e663d3849001e7e0047cc717,static_unknown,"[""finding:49f738d6fea02dbdb584d82f""]",prerequisite-status.csv#family_id=family:e663d3849001e7e0047cc717
family:1001384fdd8e14096dc5310f,static_unknown,"[""finding:4a582f5fdacdea03e714dc6f""]",prerequisite-status.csv#family_id=family:1001384fdd8e14096dc5310f
family:69533c378044e87fc56cf437,static_unknown,"[""finding:daf4221f07800bd096796f99""]",prerequisite-status.csv#family_id=family:69533c378044e87fc56cf437
family:8aa3170a689536cbee008f27,static_unknown,"[""finding:56ba9d29221c8fb0f999b953""]",prerequisite-status.csv#family_id=family:8aa3170a689536cbee008f27
family:9eb5c154d92f140cca9191b6,static_unknown,"[""finding:46c401a35d9414fa60dfeb8d""]",prerequisite-status.csv#family_id=family:9eb5c154d92f140cca9191b6
family:d5ebf65820fe371a9f31351f,static_unknown,"[""finding:b7eac65de18b5e4dbfe00f85""]",prerequisite-status.csv#family_id=family:d5ebf65820fe371a9f31351f
family:f414e9e918006d536b756e56,static_unknown,"[""finding:fd8eafa7adba1bdb576c686e""]",prerequisite-status.csv#family_id=family:f414e9e918006d536b756e56
family:f7c8b4bf0e453414edf96118,static_unknown,"[""finding:eab7d2caa4f28e15734136c6""]",prerequisite-status.csv#family_id=family:f7c8b4bf0e453414edf96118
family:5842dd2c70d96f14a6ba0662,static_unknown,"[""finding:1d6ee5c95046e0d2c16cfb60""]",prerequisite-status.csv#family_id=family:5842dd2c70d96f14a6ba0662
family:f20327d1000c04019fec09c5,static_unknown,"[""finding:905b58acd47de08a6a147238""]",prerequisite-status.csv#family_id=family:f20327d1000c04019fec09c5
family:038ed894ddb547fa9af07b12,static_unknown,"[""finding:2cd5fdf06354eb111822edbc""]",prerequisite-status.csv#family_id=family:038ed894ddb547fa9af07b12
family:695cdbca7d7044f3c0e68f15,static_unknown,"[""finding:11172b58489baad84d010d86""]",prerequisite-status.csv#family_id=family:695cdbca7d7044f3c0e68f15
family:cedd6d28c1779fdfe3584dd5,static_unknown,"[""finding:6944e99704025730b4b1e0b3""]",prerequisite-status.csv#family_id=family:cedd6d28c1779fdfe3584dd5
