record_id,project_id,source_version,run_id,matched_finding_ids,match_status,match_basis,first_missing_stage,reason_code,original_record_id,all_blockers,first_observed_missing_premise,matched_growth_prerequisites,matched_entry_ids,matched_growth_ids,evidence_status,baseline_matched_finding_ids,evaluator_record_id,formal_detected,replay_run
CITRUS-APP-STATIC-0001,yiuman/citrus,05605ba1a23f4bca3a9fd0abc2ab5bf6a2c44abe,lifecycle-e2e-poc33-api2cn-20260920_003322,[],not_detected,entry_and_growth_linked,growth,ASSOCIATION_LINKED;GROWTH_NOT_VERIFIED,CITRUS-APP-STATIC-0001,"[""ASSOCIATION_LINKED"", ""GROWTH_NOT_VERIFIED"", ""NO_CERTIFICATE_BACKED_MATCH"", ""http_session_attribute_write:fixed_attribute_fresh_session_unproven""]",growth,"[{""coverage_notes"": [""http_session_attribute_write:fixed_attribute_fresh_session_unproven""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:8c5567f1c9f34494dbc5f95a"", ""reason_codes"": [], ""verification_status"": ""not_executed_or_unmapped""}]","[""entry:c81b2c8915781ebf977ca080""]","[""growth:8c5567f1c9f34494dbc5f95a""]",oracle_match_and_upstream_gap_only,,CITRUS-APP-STATIC-0001,False,independent-legacy-nonproof-replay-v3
CITRUS-APP-STATIC-0002,yiuman/citrus,05605ba1a23f4bca3a9fd0abc2ab5bf6a2c44abe,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:11172b58489baad84d010d86""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,CITRUS-APP-STATIC-0002,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""FLOW_GROWTH_NOT_VERIFIED"", ""GROWTH_COVERAGE_INCOMPLETE"", ""LIFECYCLE_PREMISE_UNRESOLVED"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""REPEATABILITY_TRIGGER_SEMANTICS_UNMODELED"", ""bound:LIFECYCLE_CFG_OR_RESOURCE_ALIAS_UNPROVEN"", ""guard:LIFECYCLE_CFG_OR_RESOURCE_ALIAS_UNPROVEN"", ""reachability:891f466162b81e52b51a63df"", ""release:LIFECYCLE_CFG_OR_RESOURCE_ALIAS_UNPROVEN"", ""stream_origin_unclassified""]",growth,"[{""coverage_notes"": [""stream_origin_unclassified""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:439c2c050a8e2c3cb26ccb82"", ""reason_codes"": [""GROWTH_COVERAGE_INCOMPLETE""], ""verification_status"": ""unresolved""}]","[""entry:4f41c624926e02f689765402""]","[""growth:439c2c050a8e2c3cb26ccb82""]",certificate_and_upstream_traced,finding:07e221b344334bb2f2319815,CITRUS-APP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
DCMP-STATIC-0001,dromara/datacompare,906df90c8d881f5a6ff9dcb819578e1a8eb022c8,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:556b3496920a8fbebe5e9d20""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,DCMP-STATIC-0001,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""FLOW_GROWTH_NOT_VERIFIED"", ""GROWTH_COVERAGE_INCOMPLETE"", ""LIFECYCLE_PREMISE_UNRESOLVED"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""REPEATABILITY_TRIGGER_SEMANTICS_UNMODELED"", ""bound:lifecycle_family_api_domain_unmodeled"", ""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop"", ""reachability:1b0d7623e8db3adde4ea79d5""]",growth,"[{""coverage_notes"": [""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:332ab767d2e23da50a4ccf1a"", ""reason_codes"": [""GROWTH_COVERAGE_INCOMPLETE""], ""verification_status"": ""unresolved""}]","[""entry:cd056ecf013b5e5bcf3f7ad2""]","[""growth:332ab767d2e23da50a4ccf1a""]",certificate_and_upstream_traced,finding:556b3496920a8fbebe5e9d20,DCMP-STATIC-0001,False,independent-legacy-nonproof-replay-v3
DCMP-STATIC-0002,dromara/datacompare,906df90c8d881f5a6ff9dcb819578e1a8eb022c8,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:3441dc0f122b502187881d2f""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,DCMP-STATIC-0002,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""FLOW_GROWTH_NOT_VERIFIED"", ""GROWTH_COVERAGE_INCOMPLETE"", ""LIFECYCLE_PREMISE_UNRESOLVED"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""REPEATABILITY_TRIGGER_SEMANTICS_UNMODELED"", ""bound:lifecycle_family_api_domain_unmodeled"", ""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop"", ""reachability:2e3ed1b566507d449cdc87c6""]",growth,"[{""coverage_notes"": [""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:a10399d03dc7e9d0e0b85812"", ""reason_codes"": [""GROWTH_COVERAGE_INCOMPLETE""], ""verification_status"": ""unresolved""}]","[""entry:71d51a7c034576ade74c632e""]","[""growth:a10399d03dc7e9d0e0b85812""]",certificate_and_upstream_traced,finding:3441dc0f122b502187881d2f,DCMP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
ERUPT-APP-STATIC-0001,erupts/erupt,e725556dd41659c0d1ef9d4bf4dfbdffbe6c3936,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:b9a3235890e60a32b45d96a7""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,ERUPT-APP-STATIC-0001,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""BOUND_COVERAGE_UNKNOWN"", ""GUARD_COVERAGE_UNKNOWN"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""RELEASE_COVERAGE_UNKNOWN"", ""bound:lifecycle_family_api_domain_unmodeled"", ""bound_coverage"", ""guard:lifecycle_family_api_domain_unmodeled"", ""guard_coverage"", ""reachability:79444a341a2c33ea43df941e"", ""release:lifecycle_family_api_domain_unmodeled"", ""release_coverage""]",reachability,"[{""coverage_notes"": [""direct_allocation:handler_parameter_size"", ""direct_allocation:server_controlled_fixed_size""], ""coverage_status"": ""complete"", ""growth_id"": ""growth:6ceae1d19f778307afb58ec8"", ""reason_codes"": [], ""verification_status"": ""verified""}]","[""entry:12d22965eab24a12e6a44892""]","[""growth:6ceae1d19f778307afb58ec8""]",certificate_and_upstream_traced,finding:b9a3235890e60a32b45d96a7,ERUPT-APP-STATIC-0001,False,independent-legacy-nonproof-replay-v3
ERUPT-APP-STATIC-0002,erupts/erupt,e725556dd41659c0d1ef9d4bf4dfbdffbe6c3936,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:4d692914b2685132b240e73b""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,ERUPT-APP-STATIC-0002,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""FLOW_GROWTH_NOT_VERIFIED"", ""GROWTH_COVERAGE_INCOMPLETE"", ""LIFECYCLE_PREMISE_UNRESOLVED"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""bound:lifecycle_family_api_domain_unmodeled"", ""guard:lifecycle_family_api_domain_unmodeled"", ""reachability:ed0c92a00b00da2dc2cb21d1"", ""release:lifecycle_family_api_domain_unmodeled"", ""stream_origin_unclassified""]",growth,"[{""coverage_notes"": [""stream_origin_unclassified""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:002eda9ef0d23d2241fcf2a4"", ""reason_codes"": [""GROWTH_COVERAGE_INCOMPLETE""], ""verification_status"": ""unresolved""}]","[""entry:7bce82aad7da0f8dfc87a7b0""]","[""growth:002eda9ef0d23d2241fcf2a4""]",certificate_and_upstream_traced,finding:4d692914b2685132b240e73b,ERUPT-APP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
JMQTT-APP-STATIC-0002,cicizz/jmqtt,032ac7eababf54e072910b49e86c18716abdaab6,lifecycle-e2e-poc33-api2cn-20260920_003322,[],not_detected,entry_and_growth_linked,growth,ASSOCIATION_LINKED;GROWTH_NOT_VERIFIED,JMQTT-APP-STATIC-0002,"[""ASSOCIATION_LINKED"", ""GROWTH_NOT_VERIFIED"", ""NO_CERTIFICATE_BACKED_MATCH"", ""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop""]",growth,"[{""coverage_notes"": [""persistent_field_container_write:key_driver_unclassified:single_operation_no_enclosing_loop""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:fe7d775a20ecb55ecc208c21"", ""reason_codes"": [], ""verification_status"": ""not_executed_or_unmapped""}]","[""entry:442500701c004c669cec511c"", ""entry:9c1ee415b1b9893a400d2b3f""]","[""growth:fe7d775a20ecb55ecc208c21""]",oracle_match_and_upstream_gap_only,,JMQTT-APP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
POWERJOB-APP-STATIC-0002,powerjob/powerjob,332179de26b44f0a949f7594ce9f57ee26fb6b27,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:e513210b205567be34e37c1c""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,POWERJOB-APP-STATIC-0002,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""BOUND_COVERAGE_UNKNOWN"", ""GUARD_COVERAGE_UNKNOWN"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""RELEASE_COVERAGE_UNKNOWN"", ""bound:lifecycle_family_api_domain_unmodeled"", ""bound_coverage"", ""guard:lifecycle_family_api_domain_unmodeled"", ""guard_coverage"", ""reachability:b06288a43035a98ebed3db9a"", ""release:lifecycle_family_api_domain_unmodeled"", ""release_coverage""]",reachability,"[{""coverage_notes"": [""direct_allocation:server_controlled_fixed_size""], ""coverage_status"": ""complete"", ""growth_id"": ""growth:45aef0366f48b191cdfa3785"", ""reason_codes"": [], ""verification_status"": ""not_executed_or_unmapped""}, {""coverage_notes"": [""recognized_request_wrapper_string_materialization""], ""coverage_status"": ""complete"", ""growth_id"": ""growth:d4a88661232726b937a35c2f"", ""reason_codes"": [], ""verification_status"": ""verified""}]","[""entry:040ebd1e8d806f2e6ef41b63""]","[""growth:45aef0366f48b191cdfa3785"", ""growth:d4a88661232726b937a35c2f""]",certificate_and_upstream_traced,finding:e513210b205567be34e37c1c,POWERJOB-APP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
REBUILD-APP-STATIC-0002,getrebuild/rebuild,11b99899d3aba18b3a4e891f831ff7efc283ecc9,lifecycle-e2e-poc33-api2cn-20260920_003322,[],not_detected,entry_and_growth_linked,growth,ASSOCIATION_LINKED;GROWTH_NOT_VERIFIED,REBUILD-APP-STATIC-0002,"[""ASSOCIATION_LINKED"", ""GROWTH_NOT_VERIFIED"", ""NO_CERTIFICATE_BACKED_MATCH"", ""direct_allocation:size_origin_unclassified""]",growth,"[{""coverage_notes"": [""direct_allocation:size_origin_unclassified""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:bd053bfd84364b2bd67fa3cf"", ""reason_codes"": [], ""verification_status"": ""not_executed_or_unmapped""}]","[""entry:163d0bfe22b5af5acfcf956e""]","[""growth:bd053bfd84364b2bd67fa3cf""]",oracle_match_and_upstream_gap_only,,REBUILD-APP-STATIC-0002,False,independent-legacy-nonproof-replay-v3
REBUILD-APP-STATIC-0003,getrebuild/rebuild,11b99899d3aba18b3a4e891f831ff7efc283ecc9,lifecycle-e2e-poc33-api2cn-20260920_003322,"[""finding:bb7104fc4af89c28d7c39fee""]",not_detected,certificate_backed_static_unknown_not_positive,conclude,FINDING_CERTIFICATE_BACKED;STATIC_VERDICT_NOT_POSITIVE,REBUILD-APP-STATIC-0003,"[""A1_REACHABILITY_UNKNOWN"", ""A2_REACHABILITY_UNKNOWN"", ""FLOW_GROWTH_NOT_VERIFIED"", ""GROWTH_COVERAGE_INCOMPLETE"", ""LIFECYCLE_PREMISE_UNRESOLVED"", ""REACH_AUTH_COVERAGE_PARTIAL"", ""REACH_AUTH_UNKNOWN"", ""bound:lifecycle_family_api_domain_unmodeled"", ""guard:reflection_or_custom_dispatch_not_modeled"", ""reachability:0b244e95c5440810db9ac31f"", ""release:lifecycle_family_api_domain_unmodeled"", ""stream_origin_unclassified""]",growth,"[{""coverage_notes"": [""stream_origin_unclassified""], ""coverage_status"": ""partial"", ""growth_id"": ""growth:b35ae6aab129c9af58127e92"", ""reason_codes"": [""GROWTH_COVERAGE_INCOMPLETE""], ""verification_status"": ""unresolved""}]","[""entry:3b3dabfd4f2170d0eecf1b47""]","[""growth:b35ae6aab129c9af58127e92""]",certificate_and_upstream_traced,finding:bb7104fc4af89c28d7c39fee,REBUILD-APP-STATIC-0003,False,independent-legacy-nonproof-replay-v3
