case_id,analysis_unit_id,mode,raw_fact_snapshot_sha256,dimension,scope,cut,property_id,expected_status,expected_upper_bound,expected_reason_contains,actual_status,actual_upper_bound,unknown_reasons,analysis_terminated,matches
s1-sync,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1Sync(I)V,full,41119baa49e0911ea11c6638024e0b363b2e939c73dddfc860c053f902564d78,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:27b02e4efc9bc13ed1f279d3,bounded,0,,bounded,0,[],True,True
s1-sync,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1Sync(I)V,disable_cross_event_propagation,41119baa49e0911ea11c6638024e0b363b2e939c73dddfc860c053f902564d78,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:27b02e4efc9bc13ed1f279d3,bounded,0,,bounded,0,[],True,True
s1-task-wrapped,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1TaskWrapped(I)V,full,d8f7916a3498a1e7d96da51e405db8ca37b1b5f51f664be0c6f412e3b99d9d0f,close_obligation,resource_family,after_task_termination:normal,resource-property-v1.2:7289e0a224d8a9ba7158686d,bounded,0,,bounded,0,[],True,True
s1-task-wrapped,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1TaskWrapped(I)V,disable_cross_event_propagation,d8f7916a3498a1e7d96da51e405db8ca37b1b5f51f664be0c6f412e3b99d9d0f,close_obligation,resource_family,after_task_termination:normal,,unknown,,cross_event_propagation_disabled,unknown,,"[""async_consumer_contract_unmodeled"", ""coverage_incomplete"", ""cross_event_propagation_disabled"", ""exit_state_missing:event:ae8b3453a6b68245be630529"", ""expected_property_unavailable"", ""missing_property""]",True,True
s2-task-only,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2TaskOnly(I)V,full,4639fe6541603504c1c488ec8e17b5ae8375d869ab06df80e7912c22fd6d5375,held_instances,resource_family,all_tasks_terminated_after_request,resource-property-v1.2:05b5a7149982b69e152e2ace,bounded,0,,unknown,,"[""exit_state_missing:event:d6c1a178e52d04b41fdf921a""]",True,False
s2-task-only,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2TaskOnly(I)V,disable_cross_event_propagation,4639fe6541603504c1c488ec8e17b5ae8375d869ab06df80e7912c22fd6d5375,held_instances,resource_family,all_tasks_terminated_after_request,,unknown,,cross_event_propagation_disabled,unknown,,"[""async_consumer_contract_unmodeled"", ""coverage_incomplete"", ""cross_event_propagation_disabled"", ""exit_state_missing:event:4a03f4218e6701fc89e41996"", ""exit_state_missing:event:d6c1a178e52d04b41fdf921a"", ""expected_property_unavailable"", ""missing_property""]",True,True
s2-field-holder,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2FieldHolder(I)V,full,8e5013038ac44b5f910efd530e31fca549252d9d5e645e62b10be12e83e6d0da,held_instances,resource_family,all_tasks_terminated_after_request,resource-property-v1.2:96acd4fac59944520642b12e,bounded,1,,unknown,,"[""exit_state_missing:event:50fb3018b728fd75d1f8bfc6""]",True,False
s2-field-holder,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2FieldHolder(I)V,disable_cross_event_propagation,8e5013038ac44b5f910efd530e31fca549252d9d5e645e62b10be12e83e6d0da,held_instances,resource_family,all_tasks_terminated_after_request,,unknown,,cross_event_propagation_disabled,unknown,,"[""async_consumer_contract_unmodeled"", ""coverage_incomplete"", ""cross_event_propagation_disabled"", ""exit_state_missing:event:50fb3018b728fd75d1f8bfc6"", ""exit_state_missing:event:b6c36d4957b3d6755ab4818c"", ""expected_property_unavailable"", ""missing_property""]",True,True
s3-all-exits-close,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s3AllExitsClose(I)V,full,4b04b66cccef30178c0b3d3454e710252ba2e77215fa58d7860a32ed9357a051,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:65830750b21ee0d4a4595f89,bounded,0,,bounded,0,[],True,True
s3-all-exits-close,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s3AllExitsClose(I)V,disable_cross_event_propagation,4b04b66cccef30178c0b3d3454e710252ba2e77215fa58d7860a32ed9357a051,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:65830750b21ee0d4a4595f89,bounded,0,,bounded,0,[],True,True
s3-missing-exceptional-close,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s3MissingExceptionalClose(I)V,full,4780e6477b1fab57a747bce76aaac000752f9a14dde111b9d923825b522fdabe,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:c25f32e7b673b93a978a7376,unknown,,release_missing_exceptional_path,unknown,,"[""release_missing_exceptional_path""]",True,True
s3-missing-exceptional-close,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s3MissingExceptionalClose(I)V,disable_cross_event_propagation,4780e6477b1fab57a747bce76aaac000752f9a14dde111b9d923825b522fdabe,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:c25f32e7b673b93a978a7376,unknown,,release_missing_exceptional_path,unknown,,"[""release_missing_exceptional_path""]",True,True
s4-direct,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s4Direct(I)V,full,6c7e4b8cb4557c2ba14eeb671f1721dc7567a04bd5e5a4f0f3d184c683a58a7d,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:051eb403248a1bc795f2f38c,bounded,0,,bounded,0,[],True,True
s4-direct,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s4Direct(I)V,disable_cross_event_propagation,6c7e4b8cb4557c2ba14eeb671f1721dc7567a04bd5e5a4f0f3d184c683a58a7d,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:051eb403248a1bc795f2f38c,bounded,0,,bounded,0,[],True,True
s4-depth-two,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s4DepthTwo(I)V,full,a00b9aacd9a2cd070a857be8b6e5395df25b4561437d05f5cda53eda960bdc22,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:c04b10909f1696ebf4f07686,bounded,0,,bounded,0,[],True,True
s4-depth-two,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s4DepthTwo(I)V,disable_cross_event_propagation,a00b9aacd9a2cd070a857be8b6e5395df25b4561437d05f5cda53eda960bdc22,close_obligation,all_exits,all_modeled_exits,resource-property-v1.2:c04b10909f1696ebf4f07686,unknown,,cross_event_propagation_disabled,unknown,,"[""cross_event_propagation_disabled""]",True,True
s5-verified-capacity,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s5VerifiedCapacity(I)V,full,70bc88d51270e5571cd81f0de299bb78933fdfa37ada7df9c1776320bac6cddf,accepted_task_population,executor,arbitrary_finite_repetitions,resource-property-v1.2:ed7dffd93ef521ac335076c8,bounded,5,,bounded,5,[],True,True
s5-verified-capacity,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s5VerifiedCapacity(I)V,disable_cross_event_propagation,70bc88d51270e5571cd81f0de299bb78933fdfa37ada7df9c1776320bac6cddf,accepted_task_population,executor,arbitrary_finite_repetitions,resource-property-v1.2:ed7dffd93ef521ac335076c8,unknown,,executor_population_binding_unavailable,unknown,,"[""executor_population_binding_unavailable""]",True,True
s5-unknown-capacity,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s5UnknownCapacity(I)V,full,5ebb13676817487f9e9f1f3351c6c06ff2ae300fba0f1ed54562b86feff59aca,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,executor_contract_unresolved,unknown,,"[""coverage_incomplete"", ""executor_contract_unresolved"", ""exit_state_missing:event:990af77eacd73181fe6cb03f"", ""expected_property_unavailable"", ""missing_property""]",True,True
s5-unknown-capacity,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s5UnknownCapacity(I)V,disable_cross_event_propagation,5ebb13676817487f9e9f1f3351c6c06ff2ae300fba0f1ed54562b86feff59aca,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,cross_event_propagation_disabled,unknown,,"[""coverage_incomplete"", ""cross_event_propagation_disabled"", ""executor_contract_unresolved"", ""exit_state_missing:event:1631a62a5d5a754ec8ec21b2"", ""exit_state_missing:event:990af77eacd73181fe6cb03f"", ""expected_property_unavailable"", ""missing_property""]",True,True
s6-supported-executor,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,full,0491ef408e74011d76d5f536d8452545740250c3cd74a2f3cc94257a88e969b8,accepted_task_population,executor,arbitrary_finite_repetitions,resource-property-v1.2:18ad7959644611f04244a931,bounded,5,,bounded,5,[],True,True
s6-supported-executor,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,disable_cross_event_propagation,0491ef408e74011d76d5f536d8452545740250c3cd74a2f3cc94257a88e969b8,accepted_task_population,executor,arbitrary_finite_repetitions,resource-property-v1.2:18ad7959644611f04244a931,unknown,,executor_population_binding_unavailable,unknown,,"[""executor_population_binding_unavailable""]",True,True
s6-unresolved-executor,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,full,d6d76c44110a04e7c7d156ec3ed5c79b815fef7a92c83d1aa746c0445fc94a05,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,executor_receiver_identity_unresolved,unknown,,"[""coverage_incomplete"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""expected_property_unavailable"", ""missing_property""]",True,True
s6-unresolved-executor,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,disable_cross_event_propagation,d6d76c44110a04e7c7d156ec3ed5c79b815fef7a92c83d1aa746c0445fc94a05,accepted_task_population,executor,arbitrary_finite_repetitions,,unknown,,cross_event_propagation_disabled,unknown,,"[""coverage_incomplete"", ""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1"", ""expected_property_unavailable"", ""missing_property""]",True,True
