module,analysis_unit_id,dimension,scope,cut,resource_family_id,executor_id,raw_fact_snapshot_sha256,full_property_id,ablated_property_id,full_status,ablated_status,full_upper_bound,ablated_upper_bound,full_unknown_reasons,ablated_unknown_reasons,determinate_gain
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,close_obligation,all_exits,all_modeled_exits,family:6cb64f6d98c1c785db24237d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:48e59975523edeba59557b9c,resource-property-v1.2:48e59975523edeba59557b9c,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,held_instances,all_exits,all_modeled_exits,family:6cb64f6d98c1c785db24237d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:e4151b1fc8814871549e1cd0,resource-property-v1.2:e4151b1fc8814871549e1cd0,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,item_size_bytes,per_instance,all_modeled_exits,family:6cb64f6d98c1c785db24237d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:c0e37bed64527e6e65976c27,resource-property-v1.2:c0e37bed64527e6e65976c27,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,close_obligation,all_exits,all_modeled_exits,family:74b43a38df00b431f7ce182b,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:079289a5621302e5355fca43,resource-property-v1.2:079289a5621302e5355fca43,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,held_instances,all_exits,all_modeled_exits,family:74b43a38df00b431f7ce182b,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:0a6ec4957269d164fc780308,resource-property-v1.2:0a6ec4957269d164fc780308,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,item_size_bytes,per_instance,all_modeled_exits,family:74b43a38df00b431f7ce182b,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:79e090b08bfbdc40bf993965,resource-property-v1.2:79e090b08bfbdc40bf993965,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,close_obligation,all_exits,all_modeled_exits,family:a455f1a3be6e855e000f1d8d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:b25012c64e0ad150a418bcae,resource-property-v1.2:b25012c64e0ad150a418bcae,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,held_instances,all_exits,all_modeled_exits,family:a455f1a3be6e855e000f1d8d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:38f3181e4d5a1e2aa44324cd,resource-property-v1.2:38f3181e4d5a1e2aa44324cd,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-core,java-callable-v1:org.apache.hertzbeat.common.util.ArrowUtil.serializeMultipleRoots(Ljava/util/List;)[B,item_size_bytes,per_instance,all_modeled_exits,family:a455f1a3be6e855e000f1d8d,,b9483ea5bb8cde60ff2a257462e19e1f08b023e42d4bcf39bb925c42594e5f18,resource-property-v1.2:b79d944fe573d1aac4d48de5,resource-property-v1.2:b79d944fe573d1aac4d48de5,unknown,unknown,,,"[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]","[""external_callee_resource_effects_unmodeled"", ""iteration_limit:event:e21a14dfb435adc03deb42dd"", ""repeated_abstract_instance:instance:645905008958db0fe178d1d8"", ""unknown_call:effect:37648a9a36fec144f859593e"", ""unknown_call:effect:55773bf3ad815ad02d41db3c"", ""unknown_call:effect:7e5e49d27f75102bf4f4c6e0"", ""unknown_call:effect:833cb3b77913686d897ba5c4"", ""unknown_call:effect:a11784f0c148d06e3d73753d"", ""unknown_call:effect:a6456e33e1b08a46cb6e61bf"", ""unknown_call:effect:a94ed110d6de527e798fda43"", ""unknown_call:effect:c732a61924a0e9cadc5552b5"", ""unknown_call:effect:e24917c0953a06cfc3693673"", ""unknown_call:effect:e4e39e95ff092c034be5395e""]",False
hertzbeat-common-spring,java-callable-v1:org.apache.hertzbeat.common.support.CommonThreadPool.createLegacyExecutor(Ljava/lang/Thread$UncaughtExceptionHandler;)Ljava/util/concurrent/ExecutorService;,close_obligation,all_exits,all_modeled_exits,family:fe2b3c6c4c988c21a9301ba0,,13b13ec7b935aa2d40394ba34585fe9c9428bbd2af33cca0bc6ebac06ce488e9,resource-property-v1.2:aed6da24de549784ac0088b4,resource-property-v1.2:aed6da24de549784ac0088b4,unknown,unknown,,,"[""returned_resource_ownership_unmodeled"", ""unknown_call:effect:cd3c762fa7689f7478a79448""]","[""returned_resource_ownership_unmodeled"", ""unknown_call:effect:cd3c762fa7689f7478a79448""]",False
