data_source,input_id,kind,entry_callable,mapping,extraction,analysis,reason,resource_family_ids,property_ids,imported_record_id,candidate_file_sha256,source_sha256
project_mixed_inputs,ambiguous-resource,candidate,java-callable-v1:fixture.lifecyclev12.MultiResource.twoResources()V,mapping_ambiguous,extracted,skipped,mapping_ambiguous,[],[],,,
project_mixed_inputs,duplicate-multi,method,java-callable-v1:fixture.lifecyclev12.MultiResource.twoResources()V,mapped,extracted,analyzed,property_unknown,"[""family:53cced109891697b6bc02a74"", ""family:affc9c7af3a247565dda004a""]","[""resource-property-v1.2:08e9b2ff3ebce5c8a6d41b46"", ""resource-property-v1.2:3f13ce78ea98c4554ccd05be"", ""resource-property-v1.2:a0a5a535d3ffaf6f6844a8e7"", ""resource-property-v1.2:ab8e9a0df909b3f0f46e2d03"", ""resource-property-v1.2:ed0e0fe66dda0f877b8d25ed"", ""resource-property-v1.2:ffc02bcba0b95c746105d2cd""]",,,
project_mixed_inputs,imported-resource,candidate,java-callable-v1:fixture.lifecyclev12.MultiResource.twoResources()V,mapped,extracted,analyzed,property_unknown,"[""family:53cced109891697b6bc02a74""]","[""resource-property-v1.2:08e9b2ff3ebce5c8a6d41b46"", ""resource-property-v1.2:3f13ce78ea98c4554ccd05be"", ""resource-property-v1.2:a0a5a535d3ffaf6f6844a8e7""]",growth:d02219bc4d3fd8027f42a019,598bfe0472a7e56162c05a68a022b51a0fa233e4d8798bb1735ec1fed85bbf83,5f7ad401c616e0eb4090975bfb80de7657326c01f2143f5f144f85e1f32c8d7c
project_mixed_inputs,method-multi,method,java-callable-v1:fixture.lifecyclev12.MultiResource.twoResources()V,mapped,extracted,analyzed,property_unknown,"[""family:53cced109891697b6bc02a74"", ""family:affc9c7af3a247565dda004a""]","[""resource-property-v1.2:08e9b2ff3ebce5c8a6d41b46"", ""resource-property-v1.2:3f13ce78ea98c4554ccd05be"", ""resource-property-v1.2:a0a5a535d3ffaf6f6844a8e7"", ""resource-property-v1.2:ab8e9a0df909b3f0f46e2d03"", ""resource-property-v1.2:ed0e0fe66dda0f877b8d25ed"", ""resource-property-v1.2:ffc02bcba0b95c746105d2cd""]",,,
project_mixed_inputs,missing-method,method,java-callable-v1:fixture.lifecyclev12.MultiResource.doesNotExist()V,mapping_missing,extracted,skipped,method_has_no_extracted_resource,[],[],,,
project_mixed_inputs,stale-resource,candidate,java-callable-v1:fixture.lifecyclev12.MultiResource.twoResources()V,stale_source,extracted,skipped,stale_source,[],[],,,
scaling_1x_repeated_fixture,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1Sync(I)V,,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1Sync(I)V,mapped,extracted,analyzed,,,,,,
scaling_1x_repeated_fixture,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1TaskWrapped(I)V,,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s1TaskWrapped(I)V,mapped,extracted,analyzed,,,,,,
scaling_1x_repeated_fixture,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2TaskOnly(I)V,,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2TaskOnly(I)V,mapped,extracted,analyzed,,,,,,
scaling_1x_repeated_fixture,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2FieldHolder(I)V,,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s2FieldHolder(I)V,mapped,extracted,analyzed,,,,,,
