data_source,mode,property_id,analysis_unit_id,resource_family_id,executor_id,dimension,scope,cut,status,upper_bound,relation,assumptions,coverage_gaps,unknown_reasons,evidence_refs
source_fixture_12_cases,full,resource-property-v1.2:4ae1cfa96736dff93ca76b20,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,close_obligation,all_exits,all_modeled_exits,unknown,,,[],"[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,full,resource-property-v1.2:7e3ed23e5e5013d393993345,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,item_size_bytes,per_instance,all_modeled_exits,unknown,,,[],"[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,full,resource-property-v1.2:f240ecf4c3a26ba65ebba057,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,held_instances,all_exits,all_modeled_exits,unknown,,,[],"[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed""]","[""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,disable_cross_event_propagation,resource-property-v1.2:4ae1cfa96736dff93ca76b20,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,close_obligation,all_exits,all_modeled_exits,unknown,,,[],"[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""ablation:disable-cross-event:java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V:family:17ae64a6e90319ae6055888f:close_obligation"", ""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,disable_cross_event_propagation,resource-property-v1.2:7e3ed23e5e5013d393993345,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,item_size_bytes,per_instance,all_modeled_exits,unknown,,,[],"[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""ablation:disable-cross-event:java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V:family:17ae64a6e90319ae6055888f:item_size_bytes"", ""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,disable_cross_event_propagation,resource-property-v1.2:f240ecf4c3a26ba65ebba057,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V,family:17ae64a6e90319ae6055888f,,held_instances,all_exits,all_modeled_exits,unknown,,,[],"[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""cross_event_propagation_disabled"", ""executor_receiver_identity_unresolved"", ""exit_state_missing:event:0305a1adf3a6165bf1fb0fed"", ""exit_state_missing:event:e8de37c4b0d471a0cc11a3f1""]","[""ablation:disable-cross-event:java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6UnresolvedExecutor(I)V:family:17ae64a6e90319ae6055888f:held_instances"", ""lifecycle-fact:f89f5d6b16e789ac13854706""]"
source_fixture_12_cases,full,resource-property-v1.2:18ad7959644611f04244a931,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,,executor-contract:e27f73dafac3aa443eb4dfc2,accepted_task_population,executor:executor-contract:e27f73dafac3aa443eb4dfc2,arbitrary_finite_repetitions,bounded,5,"q<=K, a<=W, q+a<=K+W","[""q counts accepted tasks in the modeled executor queue"", ""a counts reserved or running tasks in the modeled executor"", ""each external acceptance denotes a fresh task population member"", ""task phase changes do not create a second population member"", ""derived invariants: 0 <= q <= K, 0 <= a <= W, q + a <= K + W"", ""proof is inductive for arbitrary finite repetitions, not one unrolling"", ""arbitrary_finite_repetitions_of_external_accept""]",[],[],"[""executor-contract:e27f73dafac3aa443eb4dfc2"", ""lifecycle-fact:09d7666988500ce38b2f032d"", ""lifecycle-fact:2762a6a4d56bb3171fe3e4c4"", ""lifecycle-fact:3681d9e29038744cd1d8033c"", ""lifecycle-fact:c64edceb272177ce16674941""]"
source_fixture_12_cases,full,resource-property-v1.2:2d6e8346fc6030417dc8ac6f,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,family:c16339a043cbcd2aae4cc202,,close_obligation,all_exits,all_modeled_exits,unknown,,,[],"[""async_consumer_contract_unmodeled"", ""exit_state_missing:event:baeb2eb769a69d6f8db63ae3"", ""task_cancellation_unmodeled:task:574aa7731546e5bf9d141431"", ""task_rejection_continuation_unknown:task:574aa7731546e5bf9d141431"", ""task_termination_not_guaranteed:task:574aa7731546e5bf9d141431""]","[""async_consumer_contract_unmodeled"", ""exit_state_missing:event:baeb2eb769a69d6f8db63ae3"", ""task_cancellation_unmodeled:task:574aa7731546e5bf9d141431"", ""task_rejection_continuation_unknown:task:574aa7731546e5bf9d141431"", ""task_termination_not_guaranteed:task:574aa7731546e5bf9d141431""]","[""lifecycle-fact:3681d9e29038744cd1d8033c""]"
source_fixture_12_cases,full,resource-property-v1.2:3e86ba948d21e6da0a843e90,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,family:c16339a043cbcd2aae4cc202,,close_obligation,all_tasks_terminated_after_request,all_tasks_terminated_after_request,unknown,,,"[""conditional on reaching the recorded exit slice; termination is not guaranteed"", ""result aggregates independently checked recorded paths, not a single merged trace""]","[""async_consumer_contract_unmodeled"", ""exit_state_missing:event:baeb2eb769a69d6f8db63ae3""]","[""async_consumer_contract_unmodeled"", ""exit_state_missing:event:baeb2eb769a69d6f8db63ae3""]","[""family:c16339a043cbcd2aae4cc202"", ""instance:d772bfe2cc7236e73858d99d"", ""lifecycle-fact:09d7666988500ce38b2f032d"", ""lifecycle-fact:113a583ae462186520d214c4"", ""lifecycle-fact:3681d9e29038744cd1d8033c"", ""lifecycle-fact:c64edceb272177ce16674941"", ""lifecycle-fact:f02caab5ed49c51fb7f5e526"", ""lifecycle-fact:f28fd12109fd1e7fdc6ab2bd""]"
source_fixture_12_cases,full,resource-property-v1.2:50ac2cfb943d8161623c4611,java-callable-v1:fixture.lifecyclev11.SourcePairsScale001.s6SupportedExecutor(I)V,family:c16339a043cbcd2aae4cc202,,held_instances,after_task_termination:task:574aa7731546e5bf9d141431:exceptional,after_task_termination:exceptional,unknown,,,"[""conditional on reaching the recorded exit slice; termination is not guaranteed"", ""result aggregates independently checked recorded paths, not a single merged trace""]","[""exit_state_missing:event:baeb2eb769a69d6f8db63ae3""]","[""exit_state_missing:event:baeb2eb769a69d6f8db63ae3""]","[""family:c16339a043cbcd2aae4cc202"", ""instance:d772bfe2cc7236e73858d99d"", ""lifecycle-fact:09d7666988500ce38b2f032d"", ""lifecycle-fact:113a583ae462186520d214c4"", ""lifecycle-fact:3681d9e29038744cd1d8033c"", ""lifecycle-fact:f02caab5ed49c51fb7f5e526"", ""lifecycle-fact:f28fd12109fd1e7fdc6ab2bd""]"
