"framework","entry_fqn","entry_file","entry_line","sink_kind","sink_file","sink_line","key_kind","container_kind","axis_r","axis_v","axis_m","axis_c","axis_l","verdict_drd","verdict","evidence"
"servlet","org.springframework.boot.web.servlet.server.AbstractServletWebServerFactoryTests$BlockingAsyncServlet.doGet","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/web/servlet/server/AbstractServletWebServerFactoryTests.java",1634,"container_add","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/web/servlet/server/AbstractServletWebServerFactoryTests.java",1636,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","BlockingQueue<Blocker>.add"
"servlet","org.springframework.boot.web.servlet.server.AbstractServletWebServerFactoryTests$BlockingServlet.doGet","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/web/servlet/server/AbstractServletWebServerFactoryTests.java",1605,"container_add","spring-boot-project/spring-boot/src/test/java/org/springframework/boot/web/servlet/server/AbstractServletWebServerFactoryTests.java",1607,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","BlockingQueue<Blocker>.add"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.layout","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",108,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",109,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.layout","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",108,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",110,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.layout","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",108,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",111,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.home","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",100,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",101,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.home","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",100,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",102,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.autoconfigure.mustache.MustacheAutoConfigurationServletIntegrationTests$Application.home","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",100,"container_put","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mustache/MustacheAutoConfigurationServletIntegrationTests.java",103,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
"spring","org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestController.index","spring-boot-project/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/restdocs/RestDocsTestController.java",33,"container_put","spring-boot-project/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/restdocs/RestDocsTestController.java",36,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,String>.put"
"spring","org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestController.index","spring-boot-project/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/restdocs/RestDocsTestController.java",33,"container_put","spring-boot-project/spring-boot-test-autoconfigure/src/test/java/org/springframework/boot/test/autoconfigure/restdocs/RestDocsTestController.java",37,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<String,Object>.put"
