"framework","entry_fqn","entry_file","entry_line","sink_kind","sink_file","sink_line","key_kind","container_kind","axis_r","axis_v","axis_m","axis_c","axis_l","verdict_drd","verdict","evidence"
"servlet","SessionExample.doPost","webapps/examples/WEB-INF/classes/SessionExample.java",158,"session_attribute","webapps/examples/WEB-INF/classes/SessionExample.java",93,"unknown","session","Open","Unlimited","Amplifiable","Bounded","ProcessLifetime","Context-Constrained","Context-Constrained","HttpSession.setAttribute"
"servlet","SessionExample.doGet","webapps/examples/WEB-INF/classes/SessionExample.java",44,"session_attribute","webapps/examples/WEB-INF/classes/SessionExample.java",93,"unknown","session","Open","Unlimited","Amplifiable","Bounded","ProcessLifetime","Context-Constrained","Context-Constrained","HttpSession.setAttribute"
"servlet","async.AsyncStockServlet.service","webapps/examples/WEB-INF/classes/async/AsyncStockServlet.java",55,"container_add","webapps/examples/WEB-INF/classes/async/AsyncStockServlet.java",63,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","ConcurrentLinkedQueue<AsyncContext>.add"
"servlet","org.apache.catalina.core.TestApplicationContext$SetAttributeServlet.doGet","test/org/apache/catalina/core/TestApplicationContext.java",290,"servlet_context_attribute","test/org/apache/catalina/core/TestApplicationContext.java",297,"constant","servlet_context","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","ServletContext.setAttribute"
"servlet","org.apache.catalina.core.TestApplicationHttpRequest$ModifyParameterServlet.doGet","test/org/apache/catalina/core/TestApplicationHttpRequest.java",355,"container_put","test/org/apache/catalina/core/TestApplicationHttpRequest.java",360,"constant","static_container","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","Map<>.put"
"servlet","org.apache.catalina.core.TestAsyncContextImpl$AsyncStashServlet.doGet","test/org/apache/catalina/core/TestAsyncContextImpl.java",2325,"servlet_context_attribute","test/org/apache/catalina/core/TestAsyncContextImpl.java",2332,"unknown","servlet_context","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","ServletContext.setAttribute"
"servlet","org.apache.catalina.ha.context.TestReplicatedContext$AccessContextServlet.doGet","test/org/apache/catalina/ha/context/TestReplicatedContext.java",67,"servlet_context_attribute","test/org/apache/catalina/ha/context/TestReplicatedContext.java",68,"constant","servlet_context","Open","Limited","CallerBounded","Unbounded","ProcessLifetime","Unexploitable","Unexploitable","ServletContext.setAttribute"
"servlet","org.apache.catalina.nonblocking.TestNonBlockingAPI$DelayedNBWriteServlet.doGet","test/org/apache/catalina/nonblocking/TestNonBlockingAPI.java",1587,"container_add","test/org/apache/catalina/nonblocking/TestNonBlockingAPI.java",1593,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","Evicted","Time-Constrained","Time-Constrained","Set<Emitter>.add"
"servlet","org.apache.catalina.servlets.CGIServlet.doOptions","java/org/apache/catalina/servlets/CGIServlet.java",574,"container_add","java/org/apache/catalina/servlets/CGIServlet.java",578,"unknown","static_container","Open","Unlimited","Amplifiable","PerElementUnbounded","ProcessLifetime","Unconstrained","Unconstrained","Set<String>.addAll"
"servlet","org.apache.catalina.servlets.CGIServlet.doOptions","java/org/apache/catalina/servlets/CGIServlet.java",574,"container_add","java/org/apache/catalina/servlets/CGIServlet.java",579,"unknown","static_container","Open","Unlimited","Amplifiable","PerElementUnbounded","ProcessLifetime","Unconstrained","Unconstrained","Set<String>.addAll"
