"framework","entry_fqn","entry_file","entry_line","sink_kind","sink_file","sink_line","key_kind","container_kind","axis_r","axis_v","axis_m","axis_c","axis_l","verdict_drd","verdict","evidence"
"undertow","io.undertow.server.handlers.LearningPushHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/LearningPushHandler.java",67,"container_put","core/src/main/java/io/undertow/server/handlers/LearningPushHandler.java",119,"request_derived","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","Map<String,Object>.put"
"undertow","io.undertow.server.handlers.LearningPushHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/LearningPushHandler.java",67,"container_put","core/src/main/java/io/undertow/server/handlers/LearningPushHandler.java",121,"request_derived","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","Map<String,Object>.put"
"undertow","io.undertow.server.handlers.ProxyPeerAddressHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/ProxyPeerAddressHandler.java",68,"container_put","core/src/main/java/io/undertow/server/handlers/ProxyPeerAddressHandler.java",124,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
"undertow","io.undertow.server.handlers.URLDecodingHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/URLDecodingHandler.java",61,"container_put","core/src/main/java/io/undertow/server/handlers/URLDecodingHandler.java",93,"unknown","static_container","Open","Unlimited","Amplifiable","PerElementUnbounded","ProcessLifetime","Unconstrained","Unconstrained","TreeMap<String,Deque<String>>.put"
"undertow","io.undertow.server.handlers.URLDecodingHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/URLDecodingHandler.java",61,"container_add","core/src/main/java/io/undertow/server/handlers/URLDecodingHandler.java",91,"unknown","static_container","Open","Unlimited","Amplifiable","PerElementUnbounded","ProcessLifetime","Unconstrained","Unconstrained","Deque<String>.add"
"undertow","io.undertow.server.handlers.SetHeaderHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/SetHeaderHandler.java",88,"container_put","core/src/main/java/io/undertow/server/handlers/SetHeaderHandler.java",89,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
"undertow","io.undertow.server.handlers.DateHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/DateHandler.java",53,"container_put","core/src/main/java/io/undertow/server/handlers/DateHandler.java",57,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
"undertow","io.undertow.server.handlers.DateHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/DateHandler.java",53,"container_put","core/src/main/java/io/undertow/server/handlers/DateHandler.java",63,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
"undertow","io.undertow.server.handlers.HttpTraceHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/HttpTraceHandler.java",47,"container_put","core/src/main/java/io/undertow/server/handlers/HttpTraceHandler.java",49,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
"undertow","io.undertow.server.handlers.RedirectHandler.handleRequest","core/src/main/java/io/undertow/server/handlers/RedirectHandler.java",62,"container_put","core/src/main/java/io/undertow/server/handlers/RedirectHandler.java",64,"unknown","static_container","Open","Unlimited","Amplifiable","Unbounded","ProcessLifetime","Unconstrained","Unconstrained","HeaderMap.put"
